Complaint Type,Location Type,Street Name,Borough
Illegal Parking,Street/Sidewalk,59 AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,PARSONS BOULEVARD,QUEENS
Illegal Parking,Street/Sidewalk,BRYANT AVENUE,BRONX
Illegal Parking,Street/Sidewalk,PARK AVENUE,MANHATTAN
Consumer Complaint,nan,63 DRIVE,QUEENS
Rodent,3+ Family Apt. Building,EAST  156 STREET,BRONX
Air Quality,nan,15 AVENUE,BROOKLYN
Rodent,1-2 Family Dwelling,UNIVERSITY AVENUE,BRONX
Rodent,1-2 Family Dwelling,DECATUR STREET,BROOKLYN
Rodent,1-2 Family Dwelling,MCDONALD AVENUE,BROOKLYN
DOF Property - Reduction Issue,"1-, 2- and 3- Family Home",nan,QUEENS
General Construction/Plumbing,nan,TURNBULL AVENUE,BRONX
Illegal Parking,Street/Sidewalk,160 STREET,QUEENS
Illegal Parking,Street/Sidewalk,STERLING PLACE,BROOKLYN
Illegal Parking,Street/Sidewalk,44 STREET,QUEENS
Illegal Parking,Street/Sidewalk,71 STREET,QUEENS
Illegal Parking,Street/Sidewalk,71 STREET,QUEENS
Consumer Complaint,nan,NEW LOTS AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,BURR AVENUE,BRONX
Rodent,3+ Family Apt. Building,PERRY STREET,MANHATTAN
HEAT/HOT WATER,RESIDENTIAL BUILDING,CHAUNCEY STREET,BROOKLYN
Root/Sewer/Sidewalk Condition,Street,LINCOLN AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,EAST   21 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,WESTCHESTER AVENUE,BRONX
Illegal Parking,Street/Sidewalk,BROADWAY,MANHATTAN
Illegal Parking,Street/Sidewalk,BEACH   88 STREET,QUEENS
Illegal Parking,Street/Sidewalk,ALEXANDER AVENUE,STATEN ISLAND
Food Establishment,Restaurant/Bar/Deli/Bakery,JAY STREET,BROOKLYN
Root/Sewer/Sidewalk Condition,Street,SAPPHIRE STREET,BROOKLYN
Noise - Residential,Residential Building/House,38 AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,LEIGH AVENUE,STATEN ISLAND
Illegal Parking,Street/Sidewalk,AVENUE I,BROOKLYN
Illegal Parking,Street/Sidewalk,97 AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,BAY PARKWAY,BROOKLYN
Illegal Parking,Street/Sidewalk,THROGS NECK EXPRESSWAY SR,BRONX
Illegal Parking,Street/Sidewalk,BENSON AVENUE,BROOKLYN
Noise - Residential,Residential Building/House,NEW YORK AVENUE,BROOKLYN
Street Sign - Damaged,Street,BOWERY,MANHATTAN
Unsanitary Pigeon Condition,3+ Family Apartment Building,SEAMAN AVENUE,MANHATTAN
Illegal Parking,Street/Sidewalk,90 AVENUE,QUEENS
Food Establishment,Restaurant/Bar/Deli/Bakery,LENOX AVENUE,MANHATTAN
Illegal Parking,Street/Sidewalk,WEST    5 STREET,BROOKLYN
Construction Lead Dust,3+ Family Apartment Building,WEST   22 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,MELBA STREET,STATEN ISLAND
Illegal Parking,Street/Sidewalk,SUTTER AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,73 PLACE,QUEENS
Special Projects Inspection Team (SPIT),nan,WEST  105 STREET,MANHATTAN
Special Projects Inspection Team (SPIT),nan,WEST  138 STREET,MANHATTAN
Special Projects Inspection Team (SPIT),nan,WEST   58 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,BOYNTON AVENUE,BRONX
New Tree Request,Street,21 AVENUE,QUEENS
New Tree Request,Street,QUINLAN AVENUE,STATEN ISLAND
New Tree Request,Street,EAST   38 STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,HEMLOCK STREET,BROOKLYN
Street Condition,nan,nan,BRONX
Street Condition,Street,8 AVENUE,MANHATTAN
Boilers,nan,WEST   24 STREET,MANHATTAN
Lost Property,nan,WEST   95 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,INWOOD AVENUE,BRONX
Special Projects Inspection Team (SPIT),nan,STERLING PLACE,BROOKLYN
Special Projects Inspection Team (SPIT),nan,70 STREET,BROOKLYN
DOF Property - Update Account,Property Address,nan,MANHATTAN
Illegal Parking,Street/Sidewalk,18 AVENUE,BROOKLYN
DOF Parking - Payment Issue,nan,nan,Unspecified
New Tree Request,Street,LINCOLN PLACE,BROOKLYN
Illegal Parking,Street/Sidewalk,LOCKE AVENUE,QUEENS
New Tree Request,Street,94 STREET,QUEENS
Boilers,nan,FIFTH AVENUE,MANHATTAN
Building/Use,nan,BRUNER AVENUE,BRONX
Damaged Tree,Street,26 AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,HEMPSTEAD AVENUE,QUEENS
Boilers,nan,ROGERS AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,LOCKE AVENUE,QUEENS
Boilers,nan,PROSPECT PLACE,BROOKLYN
Building/Use,nan,EAST  222 STREET,BRONX
Illegal Parking,Street/Sidewalk,28 AVENUE,BROOKLYN
Building/Use,nan,FIELDS AVENUE,STATEN ISLAND
Building/Use,nan,156 STREET,QUEENS
Building/Use,nan,51 AVENUE,QUEENS
Damaged Tree,Street,28 AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,37 AVENUE,QUEENS
Building/Use,nan,19 ROAD,QUEENS
Building/Use,nan,26 STREET,QUEENS
Building/Use,nan,FORLEY STREET,QUEENS
Illegal Parking,Street/Sidewalk,19 AVENUE,QUEENS
Building/Use,nan,88 ROAD,QUEENS
Building/Use,nan,LINDEN STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,FERNDALE AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,PARSONS BOULEVARD,QUEENS
Building/Use,nan,WEST  139 STREET,MANHATTAN
Building/Use,nan,OCEAN PARKWAY,BROOKLYN
Building/Use,nan,GUY R BREWER BOULEVARD,QUEENS
Damaged Tree,Street,PACIFIC STREET,BROOKLYN
Building/Use,nan,NEW LOTS AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,FERNDALE AVENUE,QUEENS
Building/Use,nan,WEST   86 STREET,MANHATTAN
Building/Use,nan,76 STREET,QUEENS
Illegal Parking,Street/Sidewalk,112 PLACE,QUEENS
Building/Use,nan,SAWYER AVENUE,STATEN ISLAND
Illegal Parking,Street/Sidewalk,CONVENT AVENUE,MANHATTAN
Building/Use,nan,OCEAN VIEW AVENUE,BROOKLYN
Building/Use,nan,WIMAN AVENUE,STATEN ISLAND
Building/Use,nan,BAYRIDGE PARKWAY,BROOKLYN
Emergency Response Team (ERT),nan,WASHINGTON PLACE,MANHATTAN
Illegal Parking,Street/Sidewalk,62 STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,GRISSOM AVENUE,STATEN ISLAND
Emergency Response Team (ERT),nan,PRESIDENT STREET,BROOKLYN
Emergency Response Team (ERT),nan,EAST   14 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,78 AVENUE,QUEENS
Emergency Response Team (ERT),nan,ASH AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,51 AVENUE,QUEENS
Electrical,nan,EAST   12 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,1 STREET,BROOKLYN
Electrical,nan,45 AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,REMSEN STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,COSTER STREET,BRONX
Emergency Response Team (ERT),nan,ASHLAND PLACE,BROOKLYN
Benefit Card Replacement,NYC Street Address,nan,Unspecified
Illegal Parking,Street/Sidewalk,CONVENT AVENUE,MANHATTAN
General Construction/Plumbing,nan,ARLINGTON PLACE,STATEN ISLAND
Noise - Vehicle,Street/Sidewalk,WEST   46 STREET,MANHATTAN
Noise - Vehicle,Street/Sidewalk,PARSONS BOULEVARD,QUEENS
Maintenance or Facility,Street/Curbside,RIVERSIDE DRIVE,MANHATTAN
Noise - Vehicle,Street/Sidewalk,EAST   10 STREET,MANHATTAN
Noise - Vehicle,Street/Sidewalk,BRONXWOOD AVENUE,BRONX
Noise - Vehicle,Street/Sidewalk,PINEAPPLE STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,AVENUE U,BROOKLYN
Food Poisoning,Restaurant/Bar/Deli/Bakery,FLATBUSH AVENUE,BROOKLYN
Food Poisoning,Restaurant/Bar/Deli/Bakery,BROADWAY,MANHATTAN
Illegal Parking,Street/Sidewalk,WEST   38 STREET,MANHATTAN
Food Poisoning,Restaurant/Bar/Deli/Bakery,EAST   23 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,EAST   12 STREET,MANHATTAN
Food Poisoning,Restaurant/Bar/Deli/Bakery,HUDSON STREET,MANHATTAN
Food Establishment,Other (Explain Below),SIXTH AVENUE,MANHATTAN
DOF Property - Request Copy,Property Address,nan,BROOKLYN
Illegal Parking,Street/Sidewalk,HUTCHINSON RIVER PARKWAY,BRONX
Noise - Vehicle,Street/Sidewalk,POPLAR STREET,BROOKLYN
Indoor Air Quality,3+ Family Apartment Building,MURRAY STREET,MANHATTAN
Indoor Air Quality,Commercial Building,8 AVENUE,MANHATTAN
Illegal Parking,Street/Sidewalk,OCEAN AVENUE,BROOKLYN
Noise - Vehicle,Street/Sidewalk,POPLAR STREET,BROOKLYN
Indoor Sewage,3+ Family Apt. Building,91 STREET,QUEENS
New Tree Request,Street,COLUMBIA HEIGHTS,BROOKLYN
Illegal Parking,Street/Sidewalk,HAMILTON AVENUE,STATEN ISLAND
Illegal Parking,Street/Sidewalk,83 STREET,BROOKLYN
New Tree Request,Street,WEST   84 STREET,MANHATTAN
New Tree Request,Street,EDGECOMB AVENUE,MANHATTAN
Illegal Parking,Street/Sidewalk,LIVINGSTON AVENUE,STATEN ISLAND
New Tree Request,Street,WADSWORTH AVENUE,MANHATTAN
Illegal Parking,Street/Sidewalk,CUMMING STREET,MANHATTAN
Street Light Condition,nan,nan,MANHATTAN
New Tree Request,Street,NINTH STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,ATLANTIC AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,SOUTHERN BOULEVARD,BRONX
Illegal Parking,Street/Sidewalk,AVENUE Y,BROOKLYN
New Tree Request,Street,94 STREET,QUEENS
Illegal Parking,Street/Sidewalk,133 AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,MAPLE STREET,BROOKLYN
Consumer Complaint,nan,NEW YORK AVENUE,Unspecified
Illegal Parking,Street/Sidewalk,NEVINS STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,WEST  114 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,SHAD CREEK ROAD,QUEENS
DOF Property - Reduction Issue,"1-, 2- and 3- Family Home",nan,QUEENS
Illegal Parking,Street/Sidewalk,10 AVENUE,MANHATTAN
Illegal Parking,Street/Sidewalk,WEST  114 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,CARLTON AVENUE,STATEN ISLAND
Illegal Parking,Street/Sidewalk,84 DRIVE,QUEENS
New Tree Request,Street,EAST  108 STREET,MANHATTAN
New Tree Request,Street,WEST   84 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,29 STREET,QUEENS
New Tree Request,Street,EAST   89 STREET,MANHATTAN
Rodent,Commercial Building,ATLANTIC AVENUE,BROOKLYN
School Maintenance,nan,80 STREET,QUEENS
Smoking,Single Room Occupancy (SRO),WEST MT EDEN AVENUE,BRONX
New Tree Request,Street,188 STREET,QUEENS
Graffiti,Residential Building/House,ALBERMARLE ROAD,BROOKLYN
Illegal Parking,Street/Sidewalk,BROADWAY,MANHATTAN
Overgrown Tree/Branches,Street,SHORE ACRES ROAD,STATEN ISLAND
Rodent,3+ Family Apt. Building,EAST   94 STREET,MANHATTAN
Rodent,1-2 Family Dwelling,STOCKHOLM STREET,BROOKLYN
Root/Sewer/Sidewalk Condition,Street,BEDFORD AVENUE,BROOKLYN
Root/Sewer/Sidewalk Condition,Street,WEST DRIVE,QUEENS
Root/Sewer/Sidewalk Condition,Street,PAYSON AVENUE,MANHATTAN
Noise - Commercial,Store/Commercial,JACKSON AVENUE,QUEENS
Root/Sewer/Sidewalk Condition,Street,99 AVENUE,QUEENS
Root/Sewer/Sidewalk Condition,Street,69 LANE,QUEENS
Rodent,1-2 Family Dwelling,POWELL AVENUE,BRONX
Root/Sewer/Sidewalk Condition,Street,BEDFORD AVENUE,BROOKLYN
Root/Sewer/Sidewalk Condition,Street,76 ROAD,QUEENS
Noise - Residential,Residential Building/House,EAST   21 STREET,MANHATTAN
Noise - Residential,Residential Building/House,20 STREET,QUEENS
Noise - Vehicle,Street/Sidewalk,PARSONS BOULEVARD,QUEENS
Root/Sewer/Sidewalk Condition,Street,ECKFORD STREET,BROOKLYN
Noise - Vehicle,Street/Sidewalk,PARSONS BOULEVARD,QUEENS
Noise - Vehicle,Street/Sidewalk,CORONA AVENUE,QUEENS
Noise - Commercial,Club/Bar/Restaurant,WEST   30 STREET,MANHATTAN
Noise - Residential,Residential Building/House,TEHAMA STREET,BROOKLYN
DOF Property - Request Copy,Property Address,nan,QUEENS
Noise - Vehicle,Street/Sidewalk,164 STREET,QUEENS
Unleashed Dog,Public/Unfenced Area,GRAND CENTRAL PARKWAY,QUEENS
Unleashed Dog,Public/Unfenced Area,87 ROAD,QUEENS
Unsanitary Pigeon Condition,3+ Family Apartment Building,BROADWAY,MANHATTAN
Street Light Condition,nan,nan,QUEENS
Noise - Residential,Residential Building/House,46 STREET,BROOKLYN
Noise - Vehicle,Street/Sidewalk,EAST   77 STREET,MANHATTAN
Lost Property,nan,EAST   54 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,54 STREET,QUEENS
Abandoned Vehicle,Street/Sidewalk,157 AVENUE,QUEENS
Abandoned Vehicle,Street/Sidewalk,PUTNAM AVENUE,BROOKLYN
Abandoned Vehicle,Street/Sidewalk,EAST   65 STREET,MANHATTAN
Noise - Vehicle,Street/Sidewalk,DITMARS BOULEVARD,QUEENS
Abandoned Vehicle,Street/Sidewalk,SCHROEDERS AVENUE,BROOKLYN
Street Condition,Street,CONCORD AVENUE,BRONX
Abandoned Vehicle,Street/Sidewalk,WEST FORDHAM ROAD,BRONX
Abandoned Vehicle,nan,59 STREET,QUEENS
Abandoned Vehicle,nan,EAST   87 STREET,BROOKLYN
Abandoned Vehicle,nan,82 STREET,QUEENS
Sidewalk Condition,Sidewalk,EAST   51 STREET,MANHATTAN
Blocked Driveway,nan,94 STREET,QUEENS
Blocked Driveway,nan,155 STREET,QUEENS
Blocked Driveway,nan,PERRY AVENUE,BRONX
Blocked Driveway,nan,94 AVENUE,QUEENS
Bus Stop Shelter Complaint,Bus Stop Shelter,MALCOLM X BOULEVARD,BROOKLYN
Traffic Signal Condition,nan,nan,BROOKLYN
Street Condition,nan,nan,QUEENS
Traffic Signal Condition,nan,nan,BROOKLYN
Overgrown Tree/Branches,Street,EAST   18 STREET,BROOKLYN
Food Poisoning,Restaurant/Bar/Deli/Bakery,EAST  103 STREET,MANHATTAN
DOOR/WINDOW,RESIDENTIAL BUILDING,BRADFORD STREET,BROOKLYN
DOOR/WINDOW,RESIDENTIAL BUILDING,DEAN STREET,BROOKLYN
ELECTRIC,RESIDENTIAL BUILDING,UNION AVENUE,BRONX
GENERAL,RESIDENTIAL BUILDING,HAVEMEYER STREET,BROOKLYN
Street Light Condition,nan,BEDFORD AVENUE,BROOKLYN
GENERAL,RESIDENTIAL BUILDING,EAST   18 STREET,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,ELMHURST AVENUE,QUEENS
HEAT/HOT WATER,RESIDENTIAL BUILDING,WOODRUFF AVENUE,BROOKLYN
Abandoned Vehicle,Street/Sidewalk,179 STREET,QUEENS
Abandoned Vehicle,Street/Sidewalk,SCHROEDERS AVENUE,BROOKLYN
Abandoned Vehicle,Street/Sidewalk,116 STREET,QUEENS
Abandoned Vehicle,Street/Sidewalk,12 STREET,BROOKLYN
Abandoned Vehicle,Street/Sidewalk,LEXINGTON AVENUE,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,ST JOHNS PLACE,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,POWELL AVENUE,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,WEST  164 STREET,MANHATTAN
Abandoned Vehicle,nan,WESTCHESTER AVENUE,BRONX
Abandoned Vehicle,nan,EAST  178 STREET,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,GRAND CONCOURSE,BRONX
Abandoned Vehicle,Street/Sidewalk,228 STREET,QUEENS
Abandoned Vehicle,Street/Sidewalk,MONTICELLO AVENUE,BRONX
Abandoned Vehicle,Street/Sidewalk,WADSWORTH AVENUE,MANHATTAN
Illegal Parking,Street/Sidewalk,BARTOW AVENUE,BRONX
Abandoned Vehicle,Street/Sidewalk,154 STREET,QUEENS
Abandoned Vehicle,Street/Sidewalk,BEACH   59 STREET,QUEENS
Abandoned Vehicle,Street/Sidewalk,WHITE PLACE,STATEN ISLAND
Blocked Driveway,Street/Sidewalk,48 AVENUE,QUEENS
Blocked Driveway,Street/Sidewalk,EAST   94 STREET,MANHATTAN
Blocked Driveway,Street/Sidewalk,98 STREET,QUEENS
HEAT/HOT WATER,RESIDENTIAL BUILDING,ELLWOOD STREET,MANHATTAN
HEAT/HOT WATER,RESIDENTIAL BUILDING,CRESTON AVENUE,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,WEST FARMS ROAD,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST   92 STREET,BROOKLYN
Abandoned Vehicle,Street/Sidewalk,BRIGHTON STREET,STATEN ISLAND
Abandoned Vehicle,Street/Sidewalk,95 AVENUE,QUEENS
Abandoned Vehicle,Street/Sidewalk,BRAGG STREET,BROOKLYN
Abandoned Vehicle,Street/Sidewalk,VANDERBILT AVENUE,STATEN ISLAND
Abandoned Vehicle,Street/Sidewalk,HETT AVENUE,STATEN ISLAND
Abandoned Vehicle,Street/Sidewalk,WOODBINE STREET,BROOKLYN
Abandoned Vehicle,Street/Sidewalk,221 STREET,QUEENS
Abandoned Vehicle,Street/Sidewalk,169 STREET,QUEENS
Abandoned Vehicle,Street/Sidewalk,60 DRIVE,QUEENS
Blocked Driveway,nan,STERLING PLACE,BROOKLYN
DOF Property - Update Account,Property Address,nan,QUEENS
Blocked Driveway,nan,57 STREET,BROOKLYN
Blocked Driveway,nan,NEEDHAM AVENUE,BRONX
Blocked Driveway,nan,87 ROAD,QUEENS
Broken Muni Meter,Street,LIBERTY AVE,QUEENS
Blocked Driveway,nan,132 STREET,QUEENS
HEAT/HOT WATER,RESIDENTIAL BUILDING,BROADWAY,MANHATTAN
Abandoned Vehicle,nan,WOODHAVEN BOULEVARD,QUEENS
Abandoned Vehicle,Street/Sidewalk,MORRIS AVENUE,BRONX
Abandoned Vehicle,Street/Sidewalk,60 ROAD,QUEENS
Abandoned Vehicle,Street/Sidewalk,163 STREET,QUEENS
Benefit Card Replacement,NYC Street Address,nan,Unspecified
DOF Property - Request Copy,Property Address,nan,QUEENS
Abandoned Vehicle,Street/Sidewalk,54 AVENUE,QUEENS
Abandoned Vehicle,nan,WEST  261 STREET,BRONX
Blocked Driveway,nan,EAST   86 STREET,BROOKLYN
Maintenance or Facility,Park,nan,MANHATTAN
Abandoned Vehicle,nan,114 AVENUE,QUEENS
Abandoned Vehicle,nan,83 AVENUE,QUEENS
Abandoned Vehicle,nan,161 STREET,QUEENS
Animal-Abuse,nan,WEST FINGERBOARD ROAD,STATEN ISLAND
Animal-Abuse,Residential Building/House,MORGAN AVENUE,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,WEST  150 STREET,MANHATTAN
HEAT/HOT WATER,RESIDENTIAL BUILDING,FT WASHINGTON AVENUE,MANHATTAN
DOF Parking - Payment Issue,nan,nan,Unspecified
HEAT/HOT WATER,RESIDENTIAL BUILDING,9 STREET,QUEENS
HEAT/HOT WATER,RESIDENTIAL BUILDING,EASTERN PARKWAY,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,SANFORD AVENUE,QUEENS
Blocked Driveway,nan,138 STREET,QUEENS
Blocked Driveway,nan,SAINT RAYMONDS AVENUE,BRONX
Blocked Driveway,nan,22 STREET,QUEENS
Blocked Driveway,nan,EAST   55 STREET,BROOKLYN
Blocked Driveway,nan,MORRIS AVENUE,BRONX
Blocked Driveway,nan,67 STREET,BROOKLYN
Blocked Driveway,nan,72 STREET,QUEENS
Blocked Driveway,nan,POPLE AVENUE,QUEENS
Blocked Driveway,nan,104 STREET,QUEENS
Blocked Driveway,nan,114 STREET,QUEENS
Blocked Driveway,nan,MADISON STREET,BROOKLYN
Blocked Driveway,nan,CAMBRIDGE AVENUE,BRONX
Blocked Driveway,nan,MCLAUGHLIN AVENUE,QUEENS
DOOR/WINDOW,RESIDENTIAL BUILDING,MORRIS AVENUE,BRONX
Blocked Driveway,nan,EAST  206 STREET,BRONX
Blocked Driveway,nan,LENOX ROAD,BROOKLYN
Blocked Driveway,Street/Sidewalk,HEMLOCK STREET,BROOKLYN
Blocked Driveway,nan,STOCKTON STREET,BROOKLYN
PLUMBING,RESIDENTIAL BUILDING,WEST  138 STREET,MANHATTAN
Blocked Driveway,nan,LINDEN BOULEVARD,BROOKLYN
Bus Stop Shelter Complaint,Bus Stop Shelter,EMMONS AVENUE,BROOKLYN
Street Condition,nan,165 STREET,QUEENS
PLUMBING,RESIDENTIAL BUILDING,HUGHES AVENUE,BRONX
DOOR/WINDOW,RESIDENTIAL BUILDING,GARRISON AVENUE,BRONX
DOOR/WINDOW,RESIDENTIAL BUILDING,POST AVENUE,MANHATTAN
ELECTRIC,RESIDENTIAL BUILDING,BLAKE AVENUE,BROOKLYN
ELECTRIC,RESIDENTIAL BUILDING,25 ROAD,QUEENS
FLOORING/STAIRS,RESIDENTIAL BUILDING,LAFAYETTE AVENUE,BROOKLYN
Dead/Dying Tree,Street,ELIZABETH STREET,MANHATTAN
GENERAL,RESIDENTIAL BUILDING,BRADFORD STREET,BROOKLYN
APPLIANCE,RESIDENTIAL BUILDING,MADISON AVENUE,MANHATTAN
APPLIANCE,RESIDENTIAL BUILDING,BLAKE AVENUE,BROOKLYN
APPLIANCE,RESIDENTIAL BUILDING,WEST  176 STREET,MANHATTAN
GENERAL,RESIDENTIAL BUILDING,PARK LANE SOUTH,QUEENS
WATER LEAK,RESIDENTIAL BUILDING,BEACH AVENUE,BRONX
DOOR/WINDOW,RESIDENTIAL BUILDING,MORRIS AVENUE,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,CARPENTER AVENUE,BRONX
DOF Property - Request Copy,Property Address,nan,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,BROADWAY,MANHATTAN
HEAT/HOT WATER,RESIDENTIAL BUILDING,76 STREET,QUEENS
HEAT/HOT WATER,RESIDENTIAL BUILDING,42 STREET,QUEENS
HEAT/HOT WATER,RESIDENTIAL BUILDING,BAY   26 STREET,BROOKLYN
SAFETY,RESIDENTIAL BUILDING,WEST MOSHOLU PARKWAY SOUTH,BRONX
GENERAL,RESIDENTIAL BUILDING,OCEAN AVENUE,BROOKLYN
ELEVATOR,RESIDENTIAL BUILDING,BRUCKNER BOULEVARD,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,57 AVENUE,QUEENS
HEAT/HOT WATER,RESIDENTIAL BUILDING,WEBSTER AVENUE,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,BUSHWICK AVENUE,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,96 STREET,QUEENS
HEAT/HOT WATER,RESIDENTIAL BUILDING,MADISON AVENUE,MANHATTAN
HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST  116 STREET,MANHATTAN
HEAT/HOT WATER,RESIDENTIAL BUILDING,LINCOLN PLACE,BROOKLYN
Abandoned Vehicle,nan,243 STREET,QUEENS
HEAT/HOT WATER,RESIDENTIAL BUILDING,LINCOLN PLACE,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,ROCKAWAY PARKWAY,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,SHERIDAN AVENUE,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,RICHMAN PLAZA,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,ST JOHNS PLACE,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST   99 STREET,MANHATTAN
HEAT/HOT WATER,RESIDENTIAL BUILDING,BRONXDALE AVENUE,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,LAUREL AVENUE,STATEN ISLAND
HEAT/HOT WATER,RESIDENTIAL BUILDING,85 STREET,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,OCEAN AVENUE,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,COLUMBUS AVENUE,MANHATTAN
HEAT/HOT WATER,RESIDENTIAL BUILDING,25 ROAD,QUEENS
HEAT/HOT WATER,RESIDENTIAL BUILDING,61 STREET,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,CENTRAL AVENUE,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,GRAND CONCOURSE,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,EASTERN PARKWAY,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,ANDERSON AVENUE,BRONX
Broken Parking Meter,Street,nan,Unspecified
HEAT/HOT WATER,RESIDENTIAL BUILDING,FRESH POND ROAD,QUEENS
HEAT/HOT WATER,RESIDENTIAL BUILDING,BEDFORD AVENUE,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST   19 STREET,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST   31 STREET,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,WEST   58 STREET,MANHATTAN
Street Light Condition,nan,GRAND CENTRAL PKWY,QUEENS
HEAT/HOT WATER,RESIDENTIAL BUILDING,WEST   55 STREET,MANHATTAN
HEAT/HOT WATER,RESIDENTIAL BUILDING,25 ROAD,QUEENS
Damaged Tree,Street,AVENUE T,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,AVENUE A,MANHATTAN
HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST  138 STREET,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,CASTLE HILL AVENUE,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,WHITE PLAINS ROAD,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,RIVERSIDE DRIVE,MANHATTAN
HEAT/HOT WATER,RESIDENTIAL BUILDING,JEFFERSON AVENUE,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,BRONX PARK EAST,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,25 ROAD,QUEENS
Dead/Dying Tree,Street,nan,Unspecified
Unsanitary Pigeon Condition,3+ Family Mixed Use Building,EAST   78 STREET,MANHATTAN
HEAT/HOT WATER,RESIDENTIAL BUILDING,WESTCHESTER AVENUE,BRONX
DOF Property - Request Copy,Property Address,nan,BRONX
PAINT/PLASTER,RESIDENTIAL BUILDING,DR M L KING JR BOULEVARD,BRONX
PAINT/PLASTER,RESIDENTIAL BUILDING,ARTHUR AVENUE,BRONX
Vending,Street/Sidewalk,BROADWAY,MANHATTAN
DOF Parking - Payment Issue,nan,nan,Unspecified
Homeless Person Assistance,Store/Commercial,EAST 45TH STREET,MANHATTAN
Vending,Street/Sidewalk,EAST   76 STREET,MANHATTAN
Street Condition,nan,31 STREET,QUEENS
