Complaint Type,Location Type,Street Name,Borough
Noise - Residential,Residential Building/House,EAST   44 STREET,MANHATTAN
Noise - Residential,Residential Building/House,NETHERLAND AVENUE,BRONX
Noise - Residential,Residential Building/House,EASTERN PARKWAY,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,LOCUST AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,ROCK BOULEVARD,QUEENS
Noise - Street/Sidewalk,Street/Sidewalk,WEST   74 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,FRANKLIN AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,BEACH AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,POST AVENUE,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,MERRICK BOULEVARD,QUEENS
Noise - Street/Sidewalk,Street/Sidewalk,POST AVENUE,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,WEST   17 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,MCDONALD AVENUE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,EAST   15 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,WEST   23 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,EAST   27 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,EAST  169 STREET,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,MORRIS AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,EAST  131 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,TOMPKINS AVENUE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,COURTLANDT AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,WEST  180 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,FTELEY AVENUE,BRONX
Benefit Card Replacement,NYC Street Address,nan,Unspecified
Noise - Street/Sidewalk,Street/Sidewalk,GUNHILL ROAD,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,WEST  138 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,EAST  169 STREET,BRONX
Noise - Vehicle,Street/Sidewalk,STOCKHOLM STREET,BROOKLYN
Noise - Vehicle,Street/Sidewalk,EAST  151 STREET,BRONX
Noise - Vehicle,Street/Sidewalk,DEKALB AVENUE,BROOKLYN
Noise - Vehicle,Street/Sidewalk,ELDRIDGE STREET,MANHATTAN
Noise - Vehicle,Street/Sidewalk,GUNHILL ROAD,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,WEST  141 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,WEST  114 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,60 STREET,QUEENS
Noise - Street/Sidewalk,Street/Sidewalk,WEST   14 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,BUFFALO AVENUE,BROOKLYN
Noise - Vehicle,Street/Sidewalk,BROAD STREET,STATEN ISLAND
Noise - Vehicle,Street/Sidewalk,104 STREET,QUEENS
Industrial Waste,nan,nan,BROOKLYN
Noise - Residential,Residential Building/House,EAST    2 STREET,BROOKLYN
Noise - Residential,Residential Building/House,8 STREET,QUEENS
Noise - Residential,Residential Building/House,ST NICHOLAS PLACE,MANHATTAN
Noise - Residential,Residential Building/House,EAST  172 STREET,BRONX
Noise - Residential,Residential Building/House,EAST  138 STREET,BRONX
Noise - Residential,Residential Building/House,WOODYCREST AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,WILLOUGHBY AVENUE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,EAST  146 STREET,BRONX
DOF Property - Owner Issue,Property Address,nan,STATEN ISLAND
Noise - Street/Sidewalk,Street/Sidewalk,SOUTH    9 STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,ROCKAWAY BOULEVARD,QUEENS
